well,barcode
A1,0131
B1,0132
C1,0133
D1,0134
E1,0135
F1,0136
G1,0137
H1,0138
A2,0139
B2,0140
C2,0141
D2,0142
E2,0143
F2,0144
G2,0145
H2,0146
A3,0147
B3,0148
C3,0149
D3,0150
E3,0151
F3,0152
G3,0153
H3,0154
A4,0155
B4,0156
C4,0157
D4,0158
E4,0159
F4,0160
G4,0161
H4,0162
A5,0163
B5,0164
C5,0165
D5,0166
E5,0167
F5,0001
G5,0169
H5,0170
A6,0171
B6,0172
C6,0173
D6,0174
E6,0175
F6,0176
G6,0177
H6,0178
A7,0179
B7,0180
C7,0181
D7,0182
E7,0183
F7,0184
G7,0185
H7,0186
A8,0187
B8,0188
C8,0189
D8,0190
E8,0191
F8,0192
G8,0193
H8,0194
A9,0195
B9,0196
C9,0197
D9,0198
E9,0199
F9,0200
G9,0201
H9,0202
A10,0203
B10,0204
C10,0205
D10,0206
E10,0207
F10,0208
G10,0209
H10,0210
A11,0211
B11,0212
C11,0213
D11,0214
E11,0215
F11,0216
G11,0217
H11,0218
A12,0219
B12,0220
C12,0221
D12,0222
E12,0223
F12,0224
G12,0225
H12,0226
